WBSFHFS10,FOREST SERVICE CAP,FOREST SERVICE CAP,A great fitting stretch twill cotton cap in a traditional design,Hats,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/forest_service_cap.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/forest_service_cap.jpg,http://www.westbranchangler.com/WBSFHFS10,19.95
WBSFHEB106,EXSTREAM™ BALACLAVA,EXSTREAM™ BALACLAVA,The new ExStream Balaclava is made from 200 series fleece and offers full head and neck coverage.,Hats,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/extreme_balaclava.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/extreme_balaclava.jpg,http://www.westbranchangler.com/WBSFHEB106,29.95
WBSFASK,WINDSTOPPER® STOCKING CAP ,WINDSTOPPER® STOCKING CAP ,This WINDSTOPPER® hat offers 100% windproof protection. ,Hats,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_winstopper_hat_blue.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_winstopper_hat_blue.jpg,http://www.westbranchangler.com/WBSFASK,24.95
WBSFASF50,SALTWATER FISHING HAT ,SALTWATER FISHING HAT ,"The Saltwater Fishing Hat has a large brim and stiff back flap for full coverage of face, ears and neck.",Hats,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_saltwater_fishing_hat_tan.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_saltwater_fishing_hat_tan.jpg,http://www.westbranchangler.com/WBSFASF50,24.95
WBSFASC,SUNCLAVA™,SUNCLAVA™,Maximum sun protection for your neck and head.,Hats,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/sunclava_hat.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/sunclava_hat.jpg,http://www.westbranchangler.com/WBSFASC,19.95
WBSFHFL109,FLAP CAP ,FLAP CAP ,A great cold weather cap provides full coverage and fits over your ball cap.,Hats, Equipment,http://www.westbranchangler.com/assetstore/site/images/items/120x120/flap_cap_large.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/flap_cap_large.jpg,http://www.westbranchangler.com/WBSFHFL109,24.95
WBSFH6P109,6-PANEL SHORT BILL CAP ,6-PANEL SHORT BILL CAP ,A great-looking cotton Simms ball cap. Black underside stops reflected light.,Hats,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_6_panel_sb_cap_orange.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_6_panel_sb_cap_orange.jpg,http://www.westbranchangler.com/WBSFH6P109,16.95
WBSFH8P109,8-PANEL LONG BILL CAP,8-PANEL LONG BILL CAP,Stylish and functional. ,Hats,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/8_panel_long_billed_cap2009.jpg.png,http://www.westbranchangler.com/assetstore/site/images/items/325x325/8_panel_long_billed_cap2009.jpg.png,http://www.westbranchangler.com/WBSFH8P109,19.95
WBSFHFH109,FISHING HAT,FISHING HAT,Lightweight and cool for comfortable wear in warm-weather fishing. ,Hats,New,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_fishing_hat_2009.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_fishing_hat_2009.jpg,http://www.westbranchangler.com/WBSFHFH109,24.95
WBSFHMF109,MICROFIBER SHORT BILL CAP ,MICROFIBER SHORT BILL CAP ,Same lightweight fabric as the long bill cap in a 6-panel style with a flat front and short bill. ,Hats,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_microfiber_sb_cap_navy.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_microfiber_sb_cap_navy.jpg,http://www.westbranchangler.com/WBSFHMF109,19.95
WBSFHWC109,WAXED CANVAS CAP,WAXED CANVAS CAP,Simms hats & caps - with varying bill lengths and sytles - provide crtical sun protection and better visibility. ,Hats,New,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_waxed_canvas_cap_2009.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_waxed_canvas_cap_2009.jpg,http://www.westbranchangler.com/WBSFHWC109,19.95
WBSFLWC110,WADERWICK™ CREW TOP,WADERWICK™ CREW TOP,Stay dry and warm in all weather with this comfortable next-to-skin baselayer. A very technical top for a really great price. ,Layering,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_waderwick_crew_top_grey.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_waderwick_crew_top_grey.jpg,http://www.westbranchangler.com/WBSFLWC110,29.95
WBSFLRT110,RIVERTEK™ TOP,RIVERTEK™ TOP,Updated with new colors - our award winning RiverTek™ Top is the perfect layer for almost every season. ,Layering,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_rivertek_zip_top_gunmetal.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_rivertek_zip_top_gunmetal.jpg,http://www.westbranchangler.com/WBSFLRT110,79.95
WBSFLRS110,RIVERSHED™ SWEATER,RIVERSHED™ SWEATER,An excellent technical layering option for colder days on the river - it also doubles as a comfortable outer layer for casual wear.,Layering,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_rivershed_sweater_moss.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_rivershed_sweater_moss.jpg,http://www.westbranchangler.com/WBSFLRS110,129.95
WBSFLWB108,WADERWICK™ BOTTOM,WADERWICK™ BOTTOM,Stay dry and warm in all weather with this comfortable next-to-skin baselayer. A very technical top for a really great price.,Layering,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/waderwick_bottom.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/waderwick_bottom.jpg,http://www.westbranchangler.com/WBSFLWB108,29.95
WBSFLSP10864,GUIDE FLEECE PANT,GUIDE FLEECE PANT,"Exceptionally warm, comfortable fleece-ideal for wearing under our waders in the coldest conditions.",Layering,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/guide_fleece_pant_large.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/guide_fleece_pant_large.jpg,http://www.westbranchangler.com/WBSFLSP10864,99.95
WBSFLMT10,WADERWICK™ FLEECE TOP,WADERWICK™ FLEECE TOP,Our WaderWick fleece layers keep you warm on those cold fishing days.,Layering,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_waderwick_fleece_top.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_waderwick_fleece_top.jpg,http://www.westbranchangler.com/WBSFLMT10,49.95
WBSFLMB10,WADERWICK™ FLEECE PANT ,WADERWICK™ FLEECE PANT ,Our WaderWick™ fleece layers keep you warm on those cold fishing days. ,Layering,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/waderwick_fleece_pant_large.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/waderwick_fleece_pant_large.jpg,http://www.westbranchangler.com/WBSFLMB10,49.95
WBSFLRB108,RIVERTEK™ BOTTOM,RIVERTEK™ BOTTOM,We've made an update to a long-standing baselayer favorite - our RiverTek™ Bottoms offer function and performance features that are ideally suited for fishing.,Layering,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_rivertek_bottom_black.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_rivertek_bottom_black.jpg,http://www.westbranchangler.com/WBSFLRB108,69.95
WBSFLDD109,DRY CREEK™ DUFFEL MEDIUM ,DRY CREEK™ DUFFEL MEDIUM ,"Made with the highest quality materials, these waterproof bags are available in small, medium or large sizes. ",Luggage,Bags,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_drycreek_duffel_medium_orange.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_drycreek_duffel_medium_orange.jpg,http://www.westbranchangler.com/WBSFLDD109,169.95
WBSFDR0,REVIVEX,REVIVEX,Revivex will bring your old gore-tex jacket back to its great breathable self.,Maintenance,Accessories,http://www.westbranchangler.com/assetstore/site/images/items/120x120/revivex_large.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/revivex_large.jpg,http://www.westbranchangler.com/WBSFDR0,14.95
WBSFD06,GORE-TEX® REPAIR KIT,GORE-TEX® REPAIR KIT,The same great kit that you find with each pair of US made Simms waders,Maintenance,Accessories,http://www.westbranchangler.com/assetstore/site/images/items/120x120/goretex_repair_kit.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/goretex_repair_kit.jpg,http://www.westbranchangler.com/WBSFD06,5.95
WBSFARE,RETRACTOR,RETRACTOR,"Designed to withstand years of abuse, our retractor will keep tools like nippers, forceps and hook hones right at hand. ",Misc,Accessories,http://www.westbranchangler.com/assetstore/site/images/items/120x120/retractor.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/retractor.jpg,http://www.westbranchangler.com/WBSFARE,7.95
WBSFAFP,SUPER-FLY PATCH ,SUPER-FLY PATCH ,You can add/replace this fly patch to many of Simm's products,Misc,Accessories,http://www.westbranchangler.com/assetstore/site/images/items/120x120/super_fly_patch.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/super_fly_patch.jpg,http://www.westbranchangler.com/WBSFAFP,4.95
WBSFABO,THIRSTY TROUT BOTTLE OPENER,THIRSTY TROUT BOTTLE OPENER,"What more could an avid angler ask for? Get one for your boat, your vest, and your fishing buddy!",Misc,Accessories,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_trout_bottle_opener.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_trout_bottle_opener.jpg,http://www.westbranchangler.com/WBSFABO,5.95
WBSFRA,IN-VEST™ JACKET,IN-VEST™ JACKET,"This waterproof windbreaker packs down to fit in a vest pocket. Super lightweight, convenient protection.",Outerwear,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/invest_jacket_large.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/invest_jacket_large.jpg,http://www.westbranchangler.com/WBSFRA,99.95
WBSFOWV10,WINDSTOPPER® DL VEST ,WINDSTOPPER® DL VEST ,"The ultimate in fleece, our DL Vest is a long-time favorite.",Outerwear,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/windstopper_dl_vest_large.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/windstopper_dl_vest_large.jpg,http://www.westbranchangler.com/WBSFOWV10,149.95
WBSFOWS110,WINDSTOPPER® SOFTSHELL JACKET,WINDSTOPPER® SOFTSHELL JACKET,The protection of a shell with the soft comfort and warmth of a mid-layer. ,Outerwear,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/WBSFOWS110.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/WBSFOWS110.jpg,http://www.westbranchangler.com/WBSFOWS110,199.95
WBSFOWJ10,WINDSTOPPER® DL JACKET,WINDSTOPPER® DL JACKET,"The ultimate in fishing fleece - warm, comfortable and water-resistant.",Outerwear,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/winstopper_dl_loden_large.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/winstopper_dl_loden_large.jpg,http://www.westbranchangler.com/WBSFOWJ10,199.95
WBSFOWG10,WOMEN'S GORE-TEX® JACKET ,WOMEN'S GORE-TEX® JACKET ,Our first women's jacket and our first featuring GORE-TEX® Soft Shell fabric. Every detail - from the fabric to the fit - is dialed for women anglers.,Outerwear,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/womens_goretex_jacket.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/womens_goretex_jacket.jpg,http://www.westbranchangler.com/WBSFOWG10,379.95
WBSFORS10,RIVERSHED™ WADING JACKET ,RIVERSHED™ WADING JACKET ,The Rivershed is our lightest full-featured GORE-TEX® jacket. ,Outerwear,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/rivershed_wading_jacket_large.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/rivershed_wading_jacket_large.jpg,http://www.westbranchangler.com/WBSFORS10,279.95
WBSFOGG10,G4 PRO™ JACKET ,G4 PRO™ JACKET ,The next generation in rain jackets - the G4 Pro Jacket is our most technical jacket and features GORE-TEX® Pro Shell fabric for incredible performance and durability.,Outerwear,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/g4_pro_jack_large.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/g4_pro_jack_large.jpg,http://www.westbranchangler.com/WBSFOGG10,449.95
WBSFOCG109,GUIDE JACKET,GUIDE JACKET,An update to an old favorite - this jacket offers a clean design with the technical performance of comfort mapping for Extreme Wet Weather protection and core insulation. ,Outerwear, Equipment,http://www.westbranchangler.com/assetstore/site/images/items/120x120/WBSFOCG109.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/WBSFOCG109.jpg,http://www.westbranchangler.com/WBSFOCG109,349.95
WBSFOFJ10,FREESTONE® JACKET,FREESTONE® JACKET,This rain jackets offers waterproof protection and outstanding Simms quality - all for a great price. ,Outerwear,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_freestone_jacket_slate.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_freestone_jacket_slate.jpg,http://www.westbranchangler.com/WBSFOFJ10,199.95
WBSFRJ,G3 GUIDE JACKET ,G3 GUIDE JACKET ,"Like our G3 waders, the G3 Guide jacket is the finest product of its kind you can purchase. ",Outerwear,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_g3_jacket_loden.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_g3_jacket_loden.jpg,http://www.westbranchangler.com/WBSFRJ,399.95
WBSFOPJ109,GORE-TEX® PACLITE® JACKET,GORE-TEX® PACLITE® JACKET,"Extremely lightweight, waterproof, and breathable. Great for boat fishing, casual situations or other outdoor activities. ",Outerwear,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_goretex_paclite_jacket_blue.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_goretex_paclite_jacket_blue.jpg,http://www.westbranchangler.com/WBSFOPJ109,249.95
