SKU,Manufacturer_ID,Brand_Name,Product_Name,Long_Description,Short_description,Category,Subcategory,Product_Group,Thumb_URL,Image_URL,Buy_Link,Keywords,Reviews,Retail_Price,Brand_Page_Link,Brand_Logo_Image,Item_Based_Commission
WBSFASF50,,,"SALTWATER FISHING HAT TAN       ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> SALTWATER HAT </div>\r\n   <p class=""description"">The Saltwater Fishing Hat has a large brim and stiff back flap for full coverage of face, ears and neck.</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">UPF 50 offers maximum sun protection</span></li><li><span class=""nn4"">100% nylon with HT Teflon&reg; water and stain resistant treatment</span></li><li><span class=""nn4"">Coolmax&reg; sweatband</span></li><li><span class=""nn4"">Large brim and stiff back flap for full sun coverage on face, ears, and neck</span></li><li><span class=""nn4"">Dark under bill</span></li><li><span class=""nn4""><span style=""font-style: italic;"" class=""nn4small"">Imported</span></span></li></ul>",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				saltwater_hat.jpg,http://www.westbranchangler.com/site/images/items/325x325/				saltwater_hat.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFASF50,,,24.95,,,
WBSFASC,,,"SUNCLAVA      ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> SUNCLAVA </div>\r\n   <p class=""description"">Maximum sun protection for your neck and head.</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">SPF 50+ sun protection</span></li><li><span class=""nn4"">4-way stretch breathable fabric</span></li><li><span class=""nn4"">SunClava offers full face and neck coverage</span></li><li><span class=""nn4"">Fabric blocks approximately 98% of UV rays</span></li><li><span class=""nn4""><span style=""font-style: italic;"" class=""nn4small"">Imported</span></span></li></ul>",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				sunclava_hat.jpg,http://www.westbranchangler.com/site/images/items/325x325/				sunclava_hat.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFASC,,,19.95,,,
WBSFASB9,,,"BACKSAVER BELT         ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> BACKSAVER BELT </div>\r\n   \r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">Extra back support for long days on the water</span></li><li><span class=""nn4"">2"" wide nylon webbing</span></li><li><span class=""nn4"">Quick-action release buckle</span></li><li><span class=""nn4"">Adjustable from 30"" to 46""</span></li></ul>",Accessories,,,http://www.westbranchangler.com/site/images/items/120x120/				back_saver_belt.jpg,http://www.westbranchangler.com/site/images/items/325x325/				back_saver_belt.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFASB9,,,39.95,,,
WBSFASB1,,,"NEOPRENE WADING BELT ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> NEOPRENE WADING BELT </div>\r\n   \r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">2"" wide high-density neoprene</span></li><li><span class=""nn4"">Velcro&reg; size adjustment</span></li><li><span class=""nn4"">Adjustable from 28"" to 46""</span></li></ul>\r\n    \r\n    \r\n    \r\n      \r\n        \r\n            \r\n            <br>",Accessories,,,http://www.westbranchangler.com/site/images/items/120x120/				neo_wading_belt.jpg,http://www.westbranchangler.com/site/images/items/325x325/				neo_wading_belt.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFASB1,,,19.95,,,
WBSFARL10,,,"QUICKLACE CONVERSION KIT      ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> QUICKLACE CONVERSION KIT </div>\r\n   <p class=""description"">Shock cord replacement laces for RiverTek™ Boots</p>",Accessories,,,http://www.westbranchangler.com/site/images/items/120x120/				photo_not_available.gif,http://www.westbranchangler.com/site/images/items/325x325/				photo_not_available.gif,http://www.westbranchangler.com/cgi-bin/site/WBSFARL10,,,4.95,,,
WBSFARE,,,"RETRACTOR         ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> SIMMS SUNSCREEN LOTION </div>\r\n   <p class=""description"">A fast-drying sunscreen lotion with excellent SPF 30+ sun protection.</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">Fragrance free</span></li><li><span class=""nn4"">SPF 30+</span></li></ul>",Accessories,,,http://www.westbranchangler.com/site/images/items/120x120/				retractor.jpg,http://www.westbranchangler.com/site/images/items/325x325/				retractor.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFARE,,,7.95,,,
WBSFARD,,,"REEL DEAL        ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> REEL DEAL </div>\r\n   <p class=""description"">Protects your valuable reels from dings and nicks.</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">Perforated 3mm neoprene</span></li><li><span class=""nn4"">May be used on or off rod</span></li></ul>",Accessories,,,http://www.westbranchangler.com/site/images/items/120x120/				read_deal.jpg,http://www.westbranchangler.com/site/images/items/325x325/				read_deal.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFARD,,,12.95,,,
WBSFARC,,,"HARD BITE BOOT STUDS        ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> HARD BITE BOOT STUDS </div>\r\n   \r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">1/4"" hex head sharp point screw with carbide pellets welded to screw head</span></li><li><span class=""nn4"">20 studs per package</span></li><li><span class=""nn4""><span style=""font-style: italic;"" class=""nn4small"">Imported</span></span></li></ul>",Accessories,,,http://www.westbranchangler.com/site/images/items/120x120/				hard_bite_boot_studs.jpg,http://www.westbranchangler.com/site/images/items/325x325/				hard_bite_boot_studs.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFARC,,,14.95,,,
WBSFANS,,,"NEOPRENE WADING SOCK     ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> NEOPRENE WADING SOCKS </div>\r\n   <p class=""description"">Ideal to wear with our wading sandals when fishing cold rivers on hot days</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">Lightweight, stretch 1mm neoprene</span></li><li><span class=""nn4"">Fitted foot design</span></li><li><span class=""nn4""><span style=""font-style: italic;"" class=""nn4small"">Imported</span></span></li></ul>",Accessories,,,http://www.westbranchangler.com/site/images/items/120x120/				neo_wading_sock.jpg,http://www.westbranchangler.com/site/images/items/325x325/				neo_wading_sock.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFANS,,,19.95,,,
WBSFALW,,,"NYLON WEB BELT LADDERLOCK    ",,"<p><span style=""font-weight: bold;"">The Simms Ladder lock Web Belt</span> is a unique,\r\nheavy-duty belt with a buckle engraved with the Simms Fish. It is made\r\nwith 100% nylon 1'' webbing and is great as an everyday belt.&nbsp; Designed\r\nto take the abuse that the great outdoors and fishing delivers. </p><p><span style=""font-weight: bold;"">Colors:</span>&nbsp;&nbsp; Orange/Loden, Navy/Grey&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span style=""font-weight: bold;""> </span>    </p><p><span style=""font-weight: bold;"">Sizes:</span> L (28''-36''), XL (38''-46'')</p>",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				ladderlockbelt.jpg,http://www.westbranchangler.com/site/images/items/325x325/				ladderlockbelt.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFALW,,,12.95,,,
