code	store_id	order_number	session	username	shipmode	sku	UPC_No	quantity	price	subtotal	shipping	taxable	size	color	options	order_date	update_date	status	parent	affiliate	campaign	description
WBA32242-1		WBA32242	bkQ6iFCE	U00223		WBSFWWG10-805-36		1	329.95	329.95					WBSFWWG10-805-36	20080904	2008-09-04 13:44:42	shipped				WOMEN'S GORE-TEX STOCKINGFOOT MS
WBA32242-2		WBA32242	bkQ6iFCE	U00223		WBSFOPJ10-705-60		1	249.95	249.95					WBSFOPJ10-705-60	20080904	2008-09-04 13:44:42	shipped				PACLITE JACKET BLUE XXL
WBA32243-1		WBA32243	rT5L5TWA	U00224		WBSFHGE106-2300		1	49.95	49.95					WBSFHGE106-2300	20080906	2008-09-06 17:08:01	pending				GORE TEXEXSTREAM HAT LODEN
WBA32244-1		WBA32244	RHmsJ8sZ	U00225		WBSFOWV10-780-50		1	149.95	149.95					WBSFOWV10-780-50	20080907	2008-09-10 11:44:58	partial				WIND STOPPER DL VEST SIMMS ORNG XL
WBA32245-1		WBA32245	BoksJzq7	U00226		WBSFCSH10-807-40		3	49.95	149.85					807, 40	20080907	2008-09-10 12:20:11	partial				3XDRY SUPERLIGHT SHORT LT KHAKI L
WBA32245-2		WBA32245	BoksJzq7	U00226		WBSFCSZ10-807-40		2	69.95	139.90					WBSFCSZ10-807-40	20080907	2008-09-10 12:21:24	partial				3XDRYSUPERLIGHT ZO PANT LT KHAKI L
WBA32245-3		WBA32245	BoksJzq7	U00226		WBSFCSN10-817-40		1	99.95	99.95					WBSFCSN10-817-40	20080907	2008-09-10 12:20:11	partial				WADERFLEX JEAN DK KHAKI L
WBA32245-4		WBA32245	BoksJzq7	U00226		WBSFCTR10-8119-50		1	69.95	69.95					WBSFCTR10-8119-50	20080907	2008-09-10 12:21:24	partial				3XDRY BLUEWATERSHIRT AQUA XL
WBA32245-5		WBA32245	BoksJzq7	U00226		WBSFCTR10-813-50		1	69.95	69.95					WBSFCTR10-813-50	20080907	2008-09-10 12:20:11	partial				3XDRY BLUEWATERSHIRT LT GREEN XL
WBA32245-6		WBA32245	BoksJzq7	U00226		WBSFCGT10-805-50		2	39.95	79.90					WBSFCGT10-805-50	20080907	2008-09-10 12:20:11	partial				3XDRY STRETCH CREW BLUE XL
WBA32245-7		WBA32245	BoksJzq7	U00226		WBSFCGT10-882-50		2	39.95	79.90					WBSFCGT10-882-50	20080907	2008-09-10 12:20:11	partial				3XDRY STRETCH CREW GINGER XL
WBA32245-8		WBA32245	BoksJzq7	U00226		WBSFCGT10-713-50		2	39.95	79.90					WBSFCGT10-713-50	20080907	2008-09-10 12:20:11	partial				3XDRY STRETCH CREW LT GREEN XL
WBA32245-9		WBA32245	BoksJzq7	U00226		WBSFCBS10-603-40		4	29.95	119.80					WBSFCBS10-603-40	20080907	2008-09-10 12:20:11	partial				WADING TRUNK KHAKI L
WBA32245-10		WBA32245	BoksJzq7	U00226		WBSFALW-43-40		2	14.95	29.90					WBSFALW-43-40	20080907	2008-09-10 12:20:11	partial				NYLONWEB BELT LADDERLOCK ORG/LDN L
WBA32245-11		WBA32245	BoksJzq7	U00226		WBSFASK-3031		1	24.95	24.95					WBSFASK-3031	20080907	2008-09-10 12:20:11	partial				WS STOCKING CAP LODEN
WBA32245-12		WBA32245	BoksJzq7	U00226		WBSG7158-NV		1	22.00	22.00					WBSG7158-NV	20080907	2008-09-10 12:21:24	partial				Hat Beanie Wool-Max Navy
WBA32246-1		WBA32246	DCYvUMFj	U00227		WBSFCFE10-830-50		1	24.95	24.95					WBSFCFE10-830-50	20080908	2008-09-10 13:05:37	partial				SMALLMOUTH BASS T-SHIRTSSWHITE XL
WBA32247-1		WBA32247	Be72Lcvx	U00228		WBSFCTE10-730-40		3	21.95	65.85					WBSFCTE10-730-40	20080909	2008-09-19 09:29:47	pending				SIMMS STEELHEAD SS WHITE L
WBA32247-2		WBA32247	Be72Lcvx	U00228		WBSFCTB10-720-40		5	21.95	109.75					WBSFCTB10-720-40	20080909	2008-09-09 22:17:04	pending				SIMMS SWIMMING BROWN SS BRN L
WBA32247-3		WBA32247	Be72Lcvx	U00228		WBSFCTT10-705-40		3	39.95	119.85					WBSFCTT10-705-40	20080909	2008-09-09 22:17:04	pending				3XDRY TATTERSALLSHIRT BLUE L
WBA32248-1		WBA32248	S94UMuPS	U00229		WBSFCLT10-844-30		1	39.95	39.95					WBSFCLT10-844-30	20080910	2008-09-11 11:16:51	partial				TOURNAMENTSHIRT KHAKI M
WBA32249-1		WBA32249	v2qUdCJ7	U00230		WBSFRA-508-30		1	99.95	99.95					508, 30	20080910	2008-09-11 10:14:51	partial				IN-VEST JACKET TAN M
WBA32250-1		WBA32250	UjTbZ54z	U00231		WBSFHFH106-1400		1	24.95	24.95					WBSFHFH106-1400	20080913	2008-09-19 09:12:27	partial				FLATS HAT TAUPO
WBA32250-2		WBA32250	UjTbZ54z	U00231		WBSFHEB106-1100		1	29.95	29.95					WBSFHEB106-1100	20080913	2008-09-19 09:12:28	partial				EXSTREAM BALACLAVA BLACK
WBA32250-3		WBA32250	UjTbZ54z	U00231		WBSFASC-4140		1	19.95	19.95					WBSFASC-4140	20080913	2008-09-19 09:13:14	partial				SUNCLAVA TAN
WBA32250-4		WBA32250	UjTbZ54z	U00231		WBSFMS031-40		2	19.95	39.90					WBSFMS031-40	20080913	2008-09-19 09:12:27	partial				WETWADING SOCK L
WBA32250-5		WBA32250	UjTbZ54z	U00231		WBSFASG4140		1	14.95	14.95					WBSFASG4140	20080913	2008-09-19 09:12:27	partial				SUNGLOVES TAN L
WBA32250-6		WBA32250	UjTbZ54z	U00231		WBSFMS031-50		1	19.95	19.95					WBSFMS031-50	20080913	2008-09-19 09:12:27	partial				WETWADING SOCK XL
WBA32251-1		WBA32251	nHGjDSI6	U00232		WBROMTM-6-R-BLACK		1	545.00	545.00					6, R, BLACK	20080916	2008-09-16 14:52:55	pending				MOMENTUM 6 REEL - BLACK
WBA32252-1		WBA32252	8WwGHSYU	U00233		WBSFSGF-10614-07		1	179.95	179.95					WBSFSGF-10614-07	20080920	2008-09-20 08:20:32	pending				G3 BOOT W/ FELT GREY 07
WBA32253-1		WBA32253	iZxtRG7v	U00234		WBSFCTT10-721-30		1	39.95	39.95					WBSFCTT10-721-30	20080921	2008-09-22 07:53:59	partial				3XDRY TATTERSALLSHIRT GREEN M
WBA32254-1		WBA32254	NDAF3oC8	U00235		WBSFCLT10-844-50		1	39.95	39.95					WBSFCLT10-844-50	20080921	2008-10-01 07:58:33	pending				TOURNAMENTSHIRT KHAKI XL
WBA32255-1		WBA32255	cvz7r5sD	U00236		WBSFRA-508-60		1	99.95	99.95					508, 60	20080923	2008-09-23 07:56:30	pending				IN-VEST JACKET TAN XXL
WBA32256-1		WBA32256	gQXWtYKh	U00237		WBSFABO-4080		1	5.95	5.95					WBSFABO-4080	20080923	2008-09-23 11:45:30	pending				BOTTLE OPENER ORANGE
WBA32257-1		WBA32257	RWk6Ua8w	U00238		WBSFCWS10-805-40		1	69.95	69.95					WBSFCWS10-805-40	20080923	2008-09-25 11:28:18	partial				3XDRY BIGSKYSHIRT BLUE L
