code	sel	name	which_page	sort	display_type	image	image_prop	banner_image	banner_text	link_type	url	tab	page	search	selector	link_template
1059	1015	Book Online		0010	name					external	http://reservations.westbranchresort.com:8080/					<a href="http://reservations.westbranchresort.com:8080" target="_blank">Book Online</a>
1061	1017	Site Map		0012	name					internal	sitemap 					
1062	1015	Photo Gallery		0012	name					external	http://www.westbranchresort.com/gallery/					<a href="http://www.westbranchresort.com/gallery/"><font color = "Red">Photo Gallery</font></a>
1063	1006	Closeout Reels & Spools		0005	name					simple		products			prod_group=Reel Closeouts	
1001	1014	Nets		0004	name					simple		products			prod_group=Nets	
1101	1010	Wading Boots/Sandals		0001	name					simple		products				
1016		NEW		0001												
1103	1101	Jackets/Outerwear		0001	name					simple		products				
1104	1101	Layering		0003	name					simple						
1105	1101	Sportswear		0004	name					simple						
1106	1101	T-Shirts/Hoodies		0006	name					simple		products				
1107	1101	Hats/Gloves/Socks		0005	name					simple		products				
1108	1101	Vests/Packs		0002	name					simple						
1109	1104	Bootfoot		0001	name					simple						
1110	1104	Stockingfoot		0002	name					simple						
1111	1104	Custom Wader Shop		0003	name		border=0			simple		products				
1112	1011	Luggage		0001	name					simple						
