SKU,Manufacturer_ID,Brand_Name,Product_Name,Short_Description,Category,Subcategory,Thumb_URL,Image_URL,Buy_Link,Retail_Price
WBSFHIE109,exstream_wading_socks_09,Simms,EXSTREAM SOCK ,The heaviest sock available from Simms. A must for cold-weather fishing.,Clothing,Socks,http://www.westbranchangler.com/site/images/items/120x120/extreme_wading_socks_2009.jpg,http://www.westbranchangler.com/site/images/items/325x325/extreme_wading_socks_2009.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFHIE109,24.95
WBSFHFL109,flap_cap,Simms,FLAP CAP,A great cold weather cap provides full coverage and fits over your ball cap., Equipment,Hats,http://www.westbranchangler.com/site/images/items/120x120/flap_cap_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/flap_cap_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFHFL109,24.95
WBSFCEP109,flat_rock_plaid_shirt,Simms,FLAT ROCK PLAID SHIRT ,Our Flat Rock Plaid is a short sleeve shirt that looks and feels fantastic. You'll be the best dressed angler on the dock.,Clothing,Sportswear,http://www.westbranchangler.com/site/images/items/120x120/simms_flat_rock_shirt.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_flat_rock_shirt.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFCEP109,79.95
WBSFHFH109,flats_hat,Simms,FISHING HAT ,Lightweight and cool for comfortable wear in warm-weather fishing. ,New,Hats,http://www.westbranchangler.com/site/images/items/120x120/simms_fishing_hat_2009.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_fishing_hat_2009.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFHFH109,24.95
WBSFSB2,flats_sneaker,Simms,FLATS SNEAKER     ,"From Abaco to Christmas Island, our Flats Sneaker is the choice of saltwater anglers and professional guides.",Clothing,Boots,http://www.westbranchangler.com/site/images/items/120x120/flats_sneaker.jpg,http://www.westbranchangler.com/site/images/items/325x325/flats_sneaker.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFSB2,99.95
WBSFHFS10,forest_service_hat_2007,Simms,FOREST SERVICE CAP       ,FOREST SERVICE CAP ,Clothing,Hats,http://www.westbranchangler.com/site/images/items/120x120/forest_service_cap.jpg,http://www.westbranchangler.com/site/images/items/325x325/forest_service_cap.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFHFS10,19.95
WBSFHFC108,freestone_foldover_mitts,Simms,Freestone Foldover Mitts,Full coverage hand protection at a fantastic price.,Clothing,Gloves,http://www.westbranchangler.com/site/images/items/120x120/simms_freestone_foldover_mitt.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_freestone_foldover_mitt.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFHFC108,24.95
WBSFHFG10510,freestone_half_finger_glove,Simms,FREESTONE GLOVE HALF   ,Economically priced protection,Clothing,Gloves,http://www.westbranchangler.com/site/images/items/120x120/freestone_half_finger.jpg,http://www.westbranchangler.com/site/images/items/325x325/freestone_half_finger.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFHFG10510,19.95
WBSFHFT108,freestone_half_finger_glove,Simms,FREESTONE HALF FINGER GLOVE ,Economically priced protection,Clothing,Gloves,http://www.westbranchangler.com/site/images/items/120x120/simms_freestone_half_finger_2009.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_freestone_half_finger_2009.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFHFT108,19.95
WBSFSN,freestone_wading_boot_studded_felt,Simms,FREESTONE BOOT STREAMTREAD / FELT / STUDDED FELT,An updated version of a Simms favorite. The new Freestone offers outstanding quality and comfort at a fantastic price.,Clothing,Boots,http://www.westbranchangler.com/site/images/items/120x120/freestone_felt_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/freestone_felt_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFSN,79.95
