code	mgroup	msort	next_line	indicator	exclude_on	depends_on	page	form	name	super	inactive	description	help_name	img_dn	img_up	img_sel	img_icon	url	member
156		2					WBSFMS030		WADERWICK LINERSOCK		0								
157		2					WBSFSWS180		WADING SOCK		0								
158		2					WBSFMS031		WETWADING SOCK		0								
159		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Sportswear/op=eq/tf=description		Sportswear		0								
160		2					WBSFCWS10		3XDRY BIG SKY SHIRT		0								
161		2					WBSFCTR10		3XDRY BLUEWATER SHIRT		0								
162		2					WBSFCMS108		3XDRY ESSEX SHIRT		0								
163		2					WBSFCKS10		3XDRY GUIDE SHIRT		0								
164		2					WBSFCZP10		3XDRY GUIDE ZIP-OFF PANT		0								
165		2					WBSFCMS107		3XDRY MICROCHECK SHIRT		0								
166		2					WBSFCVG10		3XDRY RIVERTEK SHIRT		0								
167		2					WBSFCHD108		3XDRY SOLAR FLEX HOODY		0								
168		2					WBSFCPF10		3XDRY SOLARFLEX SHIRT		0								
169		2					WBSFCGT10		3XDRY STRETCH CREW		0								
170		2					WBSFCSP10		3XDRY SUPERLIGHT PANT DK		0								
171		2					WBSFCSH10		3XDRY SUPERLIGHT SHORT		0								
172		2					WBSFCSZ10		3XDRY SUPERLIGHT ZIP-OFF PANT		0								
173		2					WBSFCSW10		3XDRY TARPON POLO		0								
174		2					WBSFCTT10		3XDRY TATTERSALL SHIRT		0								
175		2					WBSFCPS10		3XDRY TROUT POLO		0								
176		2					WBSFCPC10		GUIDE KHAKIS		0								
177		2					WBSFCSL10		SUPERLIGHT SHIRT		0								
178		2					WBSFCLT10		TOURNAMENT SHIRT		0								
179		2					WBSFCSN10		WADERFLEX JEAN		0								
180		2					WBSFCBS10		WADING TRUNK		0								
181		2					WBSFCWR10		WOMEN'S 3XDRY COTTONWOOD SHIRT		0								
182		2					WBSFCWY10		WOMENS'S 3XDRY TRIBUTARY SHIRT		0								
183		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Vest/op=eq/tf=description		Vest		0								
184		2					WBSFVC5		CLASSIC GUIDE VEST		0								
185		2					WBSFVF5		FREESTONE MESH VEST		0								
186		2					WBSFVG5		G3 GUIDE VEST		0								
187		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Waders/op=eq/tf=description		Waders		0								
188		2					WBSFWBF10		BLACKFOOT STOCKINGFOOT		0								
189		2					WBSFWFS10		FREESTONE STOCKINGFOOT		0								
190		2					WBSFWPG10		G3 GUIDE CONVERTIBLE		0								
191		2					WBSFWGP10		G3 GUIDE STOCKINGFOOT		0								
192		2					WBSFWGV107		G4 GUIDE STOCKINGFOOT		0								
193		2					WBSFWGV10		G4 PRO STOCKINGFOOT		0								
194		2					WBSFWCY10		KIDS STOCKINGFOOT		0								
195		2					WBSFWL210		L2 STOCKINGFOOT WADER		0								
196		2					WBSFWGR10		RIVERSHED STOCKINGFOOT		0								
197		2					WBSFWG54		RIVERTEK STOCKINGFOOT		0								
198		2					WBSFWWG10		WOMEN'S GORE-TEX STOCKINGFOOT		0								
199		0					scan/co=yes/fi=products/sf=category/se=Equipment/op=eq/tf=prod_group,description		Equipment		0								
