code	mgroup	msort	next_line	indicator	exclude_on	depends_on	page	form	name	super	inactive	description	help_name	img_dn	img_up	img_sel	img_icon	url	member
0		2					WBSFRJ		G3 GUIDE JACKET		0								
0		2					WBSFOGG10		G4 PRO JACKET		0								
0		2					WBSFOPJ10		PACLITE JACKET		0								
0		2					WBSFRP		PACLITE RAIN PANT		0								
0		2					WBSFORS10		RIVERSHED WADING JACKET		0								
0		2					WBSFOSV10		SUPERLIGHT INSULATED VEST		0								
0		2					WBSFOWJ10		WIND STOPPER DL JACKET		0								
0		2					WBSFOWV10		WIND STOPPER DL VEST		0								
0		2					WBSFOWS10		WINDSTOPPER SOFT SHELL JACKET		0								
0		2					WBSFOWG10		WOMEN'S GORE-TEX JACKET		0								
0		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Socks/op=eq/tf=description		Socks		0								
0		2					WBSFMS481		EXSTREAM WADING SOCKS		0								
0		2					WBSFMS406		SPORT CREW SOCK		0								
0		2					WBSFMS030		WADERWICK LINERSOCK		0								
0		2					WBSFSWS180		WADING SOCK		0								
0		2					WBSFMS031		WETWADING SOCK		0								
0		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Sportswear/op=eq/tf=description		Sportswear		0								
0		2					WBSFCWS10		3XDRY BIG SKY SHIRT		0								
0		2					WBSFCTR10		3XDRY BLUEWATER SHIRT		0								
0		2					WBSFCMS108		3XDRY ESSEX SHIRT		0								
0		2					WBSFCKS10		3XDRY GUIDE SHIRT		0								
0		2					WBSFCZP10		3XDRY GUIDE ZIP-OFF PANT		0								
0		2					WBSFCMS107		3XDRY MICROCHECK SHIRT		0								
0		2					WBSFCVG10		3XDRY RIVERTEK SHIRT		0								
0		2					WBSFCHD108		3XDRY SOLAR FLEX HOODY		0								
0		2					WBSFCPF10		3XDRY SOLARFLEX SHIRT		0								
0		2					WBSFCGT10		3XDRY STRETCH CREW		0								
0		2					WBSFCSP10		3XDRY SUPERLIGHT PANT DK		0								
0		2					WBSFCSH10		3XDRY SUPERLIGHT SHORT		0								
0		2					WBSFCSZ10		3XDRY SUPERLIGHT ZIP-OFF PANT		0								
0		2					WBSFCSW10		3XDRY TARPON POLO		0								
0		2					WBSFCTT10		3XDRY TATTERSALL SHIRT		0								
0		2					WBSFCPS10		3XDRY TROUT POLO		0								
0		2					WBSFCPC10		GUIDE KHAKIS		0								
0		2					WBSFCSL10		SUPERLIGHT SHIRT		0								
0		2					WBSFCLT10		TOURNAMENT SHIRT		0								
0		2					WBSFCSN10		WADERFLEX JEAN		0								
0		2					WBSFCBS10		WADING TRUNK		0								
0		2					WBSFCWR10		WOMEN'S 3XDRY COTTONWOOD SHIRT		0								
0		2					WBSFCWY10		WOMENS'S 3XDRY TRIBUTARY SHIRT		0								
0		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Vest/op=eq/tf=description		Vest		0								
0		2					WBSFVC5		CLASSIC GUIDE VEST		0								
0		2					WBSFVF5		FREESTONE MESH VEST		0								
0		2					WBSFVG5		G3 GUIDE VEST		0								
0		1					scan/co=yes/fi=products/sf=category/se=Clothing/op=eq/sf=prod_group/se=Waders/op=eq/tf=description		Waders		0								
0		2					WBSFWBF10		BLACKFOOT STOCKINGFOOT		0								
0		2					WBSFWFS10		FREESTONE STOCKINGFOOT		0								
0		2					WBSFWPG10		G3 GUIDE CONVERTIBLE		0								
0		2					WBSFWGP10		G3 GUIDE STOCKINGFOOT		0								
0		2					WBSFWGV107		G4 GUIDE STOCKINGFOOT		0								
0		2					WBSFWGV10		G4 PRO STOCKINGFOOT		0								
0		2					WBSFWCY10		KIDS STOCKINGFOOT		0								
0		2					WBSFWL210		L2 STOCKINGFOOT WADER		0								
0		2					WBSFWGR10		RIVERSHED STOCKINGFOOT		0								
0		2					WBSFWG54		RIVERTEK STOCKINGFOOT		0								
0		2					WBSFWWG10		WOMEN'S GORE-TEX STOCKINGFOOT		0								
0		0					scan/co=yes/fi=products/sf=category/se=Equipment/op=eq/tf=prod_group,description		Equipment		0								
0		1					scan/co=yes/fi=products/sf=category/se=Equipment/op=eq/sf=prod_group/se=Fly Rod/op=eq/tf=description		Fly Rod		0								
0		2					WBSG2004		BASS FLY ROD SERIES		0								
0		2					WBSG237		FLI FLY ROD SERIES		0								
0		2					WBSG241		LAUNCH FLY ROD SERIES		0								
0		2					WBSG204		TCR FLY ROD SERIES		0								
0		2					WBSG258		TXL FLY ROD SERIES		0								
0		2					WBSG2000		VT2 FLY ROD SERIES		0								
0		2					WBSG217		XI2 FLY ROD SERIES		0								
0		2					WBSG2001		Z-AXIS FLY ROD SERIES		0								
0		2					WBSG2003		ZXL FLY ROD SERIES		0								
0		1					scan/co=yes/fi=products/sf=category/se=Equipment/op=eq/sf=prod_group/se=Reel/op=eq/tf=description		Reel		0								
0		2					WBSG320		2500 FLY REEL SERIES		0								
0		2					WBSG32		3000 SERIES FLY REEL (DISK DRAG)		0								
0		2					WBSG330		MODEL 1600 / 1800 FLY REELS		0								
